"id"	"packs"
"Transcript_234259.0"	"EBSeq,edgeR,DESeq2"
"Transcript_234278.0"	"DESeq,edgeR,DESeq2"
"Transcript_234648.0"	"EBSeq,edgeR,DESeq2"
"Transcript_23473.0"	"DESeq,edgeR,DESeq2"
"Transcript_234820.0"	"EBSeq,edgeR,DESeq2"
"Transcript_235180.0"	"DESeq,edgeR,DESeq2"
"Transcript_23552.0"	"EBSeq,edgeR,DESeq2"
"Transcript_236046.0"	"EBSeq,edgeR,DESeq2"
"Transcript_236392.0"	"EBSeq,edgeR,DESeq2"
"Transcript_236705.0"	"DESeq,edgeR,DESeq2"
"Transcript_236742.0"	"EBSeq,edgeR,DESeq2"
"Transcript_237329.0"	"EBSeq,edgeR,DESeq2"
"Transcript_237725.0"	"DESeq,edgeR,DESeq2"
"Transcript_237735.0"	"EBSeq,edgeR,DESeq2"
"Transcript_237931.0"	"EBSeq,edgeR,DESeq2"
"Transcript_238161.0"	"EBSeq,edgeR,DESeq2"
"Transcript_239394.0"	"EBSeq,edgeR,DESeq2"
"Transcript_239588.0"	"EBSeq,edgeR,DESeq2"
"Transcript_239746.0"	"EBSeq,edgeR,DESeq2"
"Transcript_239760.0"	"DESeq,edgeR,DESeq2"
"Transcript_239800.0"	"EBSeq,edgeR,DESeq2"
"Transcript_240617.0"	"EBSeq,edgeR,DESeq2"
"Transcript_2410.0"	"EBSeq,edgeR,DESeq2"
"Transcript_241254.0"	"DESeq,edgeR,DESeq2"
"Transcript_24157.0"	"EBSeq,edgeR,DESeq2"
"Transcript_24164.0"	"DESeq,edgeR,DESeq2"
"Transcript_241670.0"	"EBSeq,edgeR,DESeq2"
"Transcript_242260.0"	"EBSeq,edgeR,DESeq2"
"Transcript_242396.0"	"EBSeq,edgeR,DESeq2"
"Transcript_242862.0"	"EBSeq,edgeR,DESeq2"
"Transcript_243127.0"	"EBSeq,edgeR,DESeq2"
"Transcript_243175.0"	"EBSeq,edgeR,DESeq2"
"Transcript_243364.0"	"EBSeq,edgeR,DESeq2"
"Transcript_243373.0"	"DESeq,edgeR,DESeq2"
"Transcript_243380.0"	"DESeq,edgeR,DESeq2"
"Transcript_24353.0"	"EBSeq,edgeR,DESeq2"
"Transcript_243536.0"	"EBSeq,edgeR,DESeq2"
"Transcript_243573.0"	"EBSeq,edgeR,DESeq2"
"Transcript_243575.0"	"DESeq,edgeR,DESeq2"
"Transcript_243813.0"	"EBSeq,edgeR,DESeq2"
"Transcript_244073.0"	"EBSeq,edgeR,DESeq2"
"Transcript_244105.0"	"DESeq,edgeR,DESeq2"
"Transcript_244161.0"	"EBSeq,edgeR,DESeq2"
"Transcript_244651.0"	"EBSeq,edgeR,DESeq2"
"Transcript_244736.0"	"EBSeq,edgeR,DESeq2"
"Transcript_244884.0"	"DESeq,edgeR,DESeq2"
"Transcript_244965.0"	"EBSeq,edgeR,DESeq2"
"Transcript_245196.0"	"DESeq,edgeR,DESeq2"
"Transcript_24530.0"	"EBSeq,edgeR,DESeq2"
"Transcript_245401.0"	"EBSeq,edgeR,DESeq2"
"Transcript_245437.0"	"DESeq,edgeR,DESeq2"
"Transcript_24617.0"	"EBSeq,edgeR,DESeq2"
"Transcript_246174.0"	"DESeq,edgeR,DESeq2"
"Transcript_246754.0"	"DESeq,edgeR,DESeq2"
"Transcript_247284.0"	"EBSeq,edgeR,DESeq2"
"Transcript_247651.0"	"EBSeq,edgeR,DESeq2"
"Transcript_247748.0"	"DESeq,edgeR,DESeq2"
"Transcript_248407.0"	"DESeq,edgeR,DESeq2"
"Transcript_249120.0"	"DESeq,edgeR,DESeq2"
"Transcript_249212.0"	"DESeq,edgeR,DESeq2"
"Transcript_249348.0"	"EBSeq,edgeR,DESeq2"
"Transcript_250040.0"	"DESeq,edgeR,DESeq2"
"Transcript_250308.0"	"EBSeq,edgeR,DESeq2"
"Transcript_250797.0"	"DESeq,edgeR,DESeq2"
"Transcript_251085.0"	"EBSeq,edgeR,DESeq2"
"Transcript_251523.0"	"EBSeq,edgeR,DESeq2"
"Transcript_251538.0"	"EBSeq,edgeR,DESeq2"
"Transcript_251684.0"	"EBSeq,edgeR,DESeq2"
"Transcript_251994.0"	"EBSeq,edgeR,DESeq2"
"Transcript_252345.0"	"DESeq,edgeR,DESeq2"
"Transcript_252788.0"	"EBSeq,edgeR,DESeq2"
"Transcript_253087.0"	"EBSeq,edgeR,DESeq2"
"Transcript_253141.0"	"EBSeq,edgeR,DESeq2"
"Transcript_253281.0"	"EBSeq,edgeR,DESeq2"
"Transcript_253530.0"	"EBSeq,edgeR,DESeq2"
"Transcript_25396.0"	"EBSeq,edgeR,DESeq2"
"Transcript_254076.0"	"EBSeq,edgeR,DESeq2"
"Transcript_254105.0"	"EBSeq,edgeR,DESeq2"
"Transcript_25435.0"	"EBSeq,edgeR,DESeq2"
"Transcript_254971.0"	"EBSeq,edgeR,DESeq2"
"Transcript_255279.0"	"EBSeq,edgeR,DESeq2"
"Transcript_255314.0"	"DESeq,edgeR,DESeq2"
"Transcript_255430.0"	"EBSeq,edgeR,DESeq2"
"Transcript_255556.0"	"EBSeq,edgeR,DESeq2"
"Transcript_255812.0"	"EBSeq,edgeR,DESeq2"
"Transcript_255998.0"	"EBSeq,edgeR,DESeq2"
"Transcript_256004.0"	"DESeq,edgeR,DESeq2"
"Transcript_256433.0"	"EBSeq,edgeR,DESeq2"
"Transcript_256670.0"	"DESeq,edgeR,DESeq2"
"Transcript_256718.0"	"DESeq,edgeR,DESeq2"
"Transcript_257333.0"	"DESeq,edgeR,DESeq2"
"Transcript_257646.0"	"EBSeq,edgeR,DESeq2"
"Transcript_25781.0"	"EBSeq,edgeR,DESeq2"
"Transcript_258195.0"	"DESeq,edgeR,DESeq2"
"Transcript_258377.0"	"DESeq,edgeR,DESeq2"
"Transcript_258684.0"	"EBSeq,edgeR,DESeq2"
"Transcript_258788.0"	"EBSeq,edgeR,DESeq2"
"Transcript_258807.0"	"DESeq,edgeR,DESeq2"
