Name	Classification	Specific_Tissue	Sex_Expression	Diff_Sex	log2_FC	Involved_in_Maturation	Involved_in_Growth
Transcript_174622.0	Tissue Specific	Brain				False	False
Transcript_27196.0	Others				0.8864824756326893	False	False
Transcript_255363.0	Tissue Specific	Brain				False	False
Transcript_66890.0	Tissue Specific	Kidney				False	False
Transcript_271955.0	Tissue Specific	Brain	Female	Female	3.094000329381737	False	False
Transcript_278703.0	Others				0.8128533226705957	False	True
Transcript_34401.0	Others					False	False
Transcript_27195.0	Others				1.705181447837388	False	False
Transcript_102239.0	Others					False	False
Transcript_271926.0	Tissue Specific	Brain	Male			False	True
Transcript_27192.0	Others					False	True
Transcript_165173.0	Tissue Specific	Gonad	Female			False	True
Transcript_27189.0	Others					False	False
Transcript_271875.0	Tissue Specific	Gonad	Female			False	False
Transcript_271874.0	Tissue Specific	Brain				False	False
Transcript_271863.0	Others				0.6165666095800388	False	False
Transcript_57264.0	Others				0.8865791568627102	False	False
Transcript_271860.0	Others					False	False
Transcript_62759.0	Others					False	False
Transcript_98449.0	Others					False	False
Transcript_271850.0	Others				0.12876900603721134	False	False
Transcript_167270.0	Others					False	False
Transcript_271808.0	Others					False	True
Transcript_73901.0	Tissue Specific	Kidney				False	False
Transcript_27180.0	Others					False	False
Transcript_271797.0	Tissue Specific	Brain	Male			False	False
Transcript_271729.0	Others					False	False
Transcript_230973.0	Others					False	False
Transcript_271721.0	Others					False	True
Transcript_271712.0	Others					False	False
Transcript_91195.0	Tissue Specific	Brain	Male			False	False
Transcript_71002.0	Others					False	False
Transcript_96274.0	Others					False	False
Transcript_52170.0	Tissue Specific	Liver	Female	Female	2.550543988420632	False	False
Transcript_107182.0	Others				0.48533564451408884	False	False
Transcript_271651.0	Others				0.6141380190011662	False	False
Transcript_173042.0	Others				0.753551566271012	False	False
Transcript_70320.0	Tissue Specific	Kidney				False	False
Transcript_238295.0	Others					False	False
Transcript_271582.0	Others					False	False
Transcript_27157.0	Others					False	False
Transcript_231178.0	Others				1.2125184389352708	False	False
Transcript_20170.0	Others				0.9672757047434438	False	False
Transcript_95104.0	Tissue Specific	Skin	Female			False	False
Transcript_271564.0	Others					False	False
Transcript_271562.0	Tissue Specific	Brain				False	False
Transcript_237433.0	Others				2.1861555825923022	False	False
Transcript_68453.0	Others					False	False
Transcript_271554.0	Others					False	False
Transcript_143547.0	Tissue Specific	Brain				False	False
Transcript_273720.0	Others				1.2216873486407311	False	False
Transcript_271533.0	Others				2.381590915620034	False	False
Transcript_92850.0	Others					False	True
Transcript_271504.0	Tissue Specific	Brain				False	False
Transcript_2715.0	Others					False	False
Transcript_271487.0	Tissue Specific	Lung				False	True
Transcript_243084.0	Others					False	False
Transcript_176751.0	Others					False	False
Transcript_1150.0	Others				0.0586093705940341	False	False
Transcript_81657.0	Others					False	False
Transcript_271482.0	Tissue Specific	Brain	Male			False	False
Transcript_271467.0	Others					False	False
Transcript_110458.0	Others				0.3488507609425089	False	False
Transcript_271460.0	Others					False	True
Transcript_245982.0	Others				1.323123190495057	False	False
Transcript_273834.0	Tissue Specific	Muscle				False	False
Transcript_271459.0	Others					False	False
Transcript_204700.0	Others				0.9822296737611093	False	False
Transcript_27145.0	Others					False	False
Transcript_31942.0	Tissue Specific	Brain	Female			False	False
Transcript_80957.0	Tissue Specific	Brain				False	False
Transcript_271434.0	Tissue Specific	Skin	Female			False	False
Transcript_66866.0	Others					False	True
Transcript_271407.0	Others				0.7865722014544454	False	False
Transcript_271406.0	Others					False	False
Transcript_83662.0	Others					False	True
Transcript_271403.0	Others					False	False
Transcript_271402.0	Others				0.05178976938841027	False	False
Transcript_271397.0	Others				1.3251452389099974	False	False
Transcript_271388.0	Others					False	False
Transcript_271690.0	Others				1.6338380802977592	False	False
