"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"Transcript_142957.0"	0.163650297269921	0	0.327300594539842	Inf	Inf	0.019239486978468	0.411952104390899
"Transcript_143008.0"	0.321288299493944	0.642576598987889	0	0	-Inf	0.000100986834166793	0.0682180272438673
"Transcript_143134.0"	0.463698388868813	0.87420004062221	0.0531967371154149	0.0608519041906613	-4.03855378101089	0.0267549835703392	0.435647554095309
"Transcript_143258.0"	0.483187258126846	0	0.966374516253693	Inf	Inf	0.00597193825468113	0.279750220304415
"Transcript_143259.0"	0.148821049385212	0.297642098770424	0	0	-Inf	0.00765772123784797	0.314575828482099
"Transcript_143314.0"	0.445347113336536	0	0.890694226673072	Inf	Inf	0.0317956244332454	0.492412046257148
"Transcript_143345.0"	0.325270753698723	0	0.650541507397446	Inf	Inf	0.000185078931560614	0.0682180272438673
"Transcript_143366.0"	0.128229694319077	0.256459388638154	0	0	-Inf	0.0142117441530802	0.368838189042873
"Transcript_143374.0"	0.2172366220002	0.384689082957231	0.0497841610431695	0.129414020955475	-2.949934164828	0.00782775915393305	0.314575828482099
"Transcript_143467.0"	0.276035411312463	0.498874085509511	0.0531967371154149	0.106633594850059	-3.2292660649703	0.00451552847091635	0.228909171310524
"Transcript_143513.0"	0.185322195595217	0.370644391190434	0	0	-Inf	0.0210541871130974	0.411952104390899
"Transcript_143572.0"	0.244577367059014	0	0.489154734118027	Inf	Inf	0.00887266461213917	0.323154692393743
"Transcript_143726.0"	0.645406513803065	0	1.29081302760613	Inf	Inf	0.0395091199230801	0.554443026792109
"Transcript_143765.0"	0.514590946672446	1.02918189334489	0	0	-Inf	0.0174320543243505	0.411952104390899
"Transcript_143800.0"	1.08300072551763	0	2.16600145103526	Inf	Inf	0.0476454124176031	0.578444056540221
"Transcript_143858.0"	0.4388636692757	0.0411827101322704	0.83654462841913	20.3130057670396	4.34433182956583	0.0205348286918666	0.411952104390899
"Transcript_143892.0"	0.29465509419135	0.589310188382701	0	0	-Inf	0.00222332976742616	0.161451767950979
"Transcript_143924.0"	0.414530845933486	0.829061691866973	0	0	-Inf	0.00441076707700651	0.227135124997131
"Transcript_143983.0"	1.14177607358634	0	2.28355214717269	Inf	Inf	0.0447332057439151	0.573215143777989
"Transcript_144176.0"	0.227506490517438	0.455012981034875	0	0	-Inf	0.0263751654584836	0.431260462310599
"Transcript_144207.0"	0.801569176661653	1.60313835332331	0	0	-Inf	0.0286298737372655	0.454064373680984
"Transcript_144295.0"	0.377437204443547	0.595284197540848	0.159590211346245	0.268090790928973	-1.8992064321103	0.0447985642188369	0.573707486965097
"Transcript_144329.0"	0.186885486456554	0.320574235797692	0.0531967371154149	0.165942022705113	-2.59124881817015	0.0231550527525988	0.425617728026466
"Transcript_14443.0"	22.5383788775981	45.0767577551961	0	0	-Inf	0.036418481420199	0.537445441497482
"Transcript_144459.0"	0.164730840529082	0.329461681058164	0	0	-Inf	0.0142117439133903	0.368838189042873
"Transcript_144485.0"	0.276931823058274	0.553863646116548	0	0	-Inf	0.000187418556177557	0.0682180272438673
"Transcript_144630.0"	0.444056620105393	0.888113240210785	0	0	-Inf	0.00438847652561302	0.227135124997131
"Transcript_144677.0"	0.273456347572996	0	0.546912695145993	Inf	Inf	0.000870233538932538	0.110623484233496
"Transcript_144783.0"	1.00054725919689	0	2.00109451839378	Inf	Inf	0.0431823013700314	0.562723865885386
"Transcript_144932.0"	0.447187720849891	0.894375441699782	0	0	-Inf	0.0159312105336328	0.404593278530592
"Transcript_145191.0"	0.431198179863672	0.862396359727344	0	0	-Inf	0.00656979179848901	0.29891532529119
