"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pvalue"	"padj"
"Transcript_124197.0"	32.2176792749514	49.63675925415	14.7985992957528	0.320904041756815	-1.6397861345422	0.0410504818378044	0.999933927310508
"Transcript_12480.0"	40.6291249904454	69.6220334299729	11.6362165509179	0.200154226318713	-2.32081601588599	0.0315931850752843	0.999933927310508
"Transcript_125978.0"	1.7278726172556	1.32881833791842	3.36240820056089	8.15444918600468	3.02758742954814	0.049461511537383	0.999933927310508
"Transcript_12601.0"	22.5374152844154	42.6460365920726	2.42879397675824	0.0912182026859252	-3.45453444538094	0.00644296507449748	0.999933927310508
"Transcript_126152.0"	7.59378496396184	13.7097776300721	1.47779229785159	0.10954103511255	-3.19045667653729	0.00870779373217518	0.999933927310508
"Transcript_126163.0"	39.7745144511132	71.4892667759912	8.05976212623526	0.160221940241983	-2.64185637591119	0.0453585266921232	0.999933927310508
"Transcript_128017.0"	20.2500632601834	3.46066121794461	37.0394653024221	6.57469636286231	2.71692426841134	0.0442639589300075	0.999933927310508
"Transcript_128440.0"	3.67609490289232	0	7.35218980578465	24.169682520721	4.59512661768926	0.00455952141552129	0.999933927310508
"Transcript_128932.0"	0.942678528699757	1.88535705739951	1.38311516500079	0.074924076432391	-3.73842679461441	0.0267275306057107	0.999933927310508
"Transcript_128944.0"	1.38478545297328	2.64823210772389	0.121338798222673	0.12402790732741	-3.01126331917117	0.0461740306986719	0.999933927310508
"Transcript_12925.0"	6.84268774464255	13.0268686984103	12.0709495852727	5.0054365179758	2.32349589021167	0.0457482712554426	0.999933927310508
"Transcript_12999.0"	45.8173999080313	76.1474130634734	15.4873867525893	0.221920046544161	-2.17188809953109	0.0155166453173203	0.999933927310508
"Transcript_130082.0"	4.167269406121	1.14461889351136	7.18991991873064	4.01856223412952	2.00667942461012	0.0368029707063441	0.999933927310508
"Transcript_130957.0"	3.89323771808677	0.641218355861895	7.14525708031165	6.90331512750935	2.78728934297041	0.0048534320584069	0.999933927310508
"Transcript_132921.0"	26.0195701269438	38.9753918792663	13.0637483746213	0.330232290909041	-1.59844689754164	0.00762965849361145	0.999933927310508
"Transcript_133992.0"	5.88881087978084	10.8638810770218	0.913740682539865	0.164188540313609	-2.60657465845176	0.0389651682662917	0.999933927310508
"Transcript_13484.0"	4.25088849063085	8.5017769812617	53.7438875814079	0.0429389946724117	-4.54156777589767	0.00682513449217264	0.999933927310508
"Transcript_134864.0"	9.59447185879057	15.6936897770467	3.49525394053444	0.250035168846228	-1.99979706259363	0.0313648096767555	0.999933927310508
"Transcript_13642.0"	25.5788174369808	21.7750479094361	40.6026852174448	3.12069574452805	1.64186770706242	0.00843977305056279	0.999933927310508
"Transcript_136546.0"	7.27202801748124	14.5440560349625	0	0.0241026096200812	-5.37466683244281	0.00103946306212426	0.999933927310508
"Transcript_13667.0"	22.9889285058128	38.2692462329571	7.70861077866856	0.229117401981945	-2.12584105615045	0.0343643649123514	0.999933927310508
"Transcript_13689.0"	14.1954869276587	20.9528605482021	7.43811330711538	0.355238542439057	-1.49313997612421	0.0494149833750132	0.999933927310508
"Transcript_137150.0"	5.35174831527709	1.11311947689738	9.59037715365681	5.4917053327061	2.45725421717318	0.0364439405759655	0.999933927310508
"Transcript_138204.0"	3.88465055512625	7.42588968800709	0.343411422245418	0.0995263999048647	-3.3287769308522	0.0276008742159319	0.999933927310508
"Transcript_138444.0"	1.72222240336987	0.137354980871578	3.30708982586816	8.92540541437422	3.15791770146929	0.0161641979904604	0.999933927310508
"Transcript_13861.0"	9.93078500507641	16.4756978833044	3.38587212684838	0.236704997983341	-2.07883792624764	0.0286078729441815	0.999933927310508
"Transcript_13870.0"	36.6167343978029	86.694932207873	119.04133510555	2.15554720243654	1.10805415517495	0.0267610357020117	0.999933927310508
"Transcript_138847.0"	2.28005778928046	4.56011557856093	2.1278694846166	0.0796577141252195	-3.6500421093637	0.0357962265761437	0.999933927310508
"Transcript_139368.0"	4.03993985718058	0.592367961906453	7.48751175245472	7.03186046143434	2.81390644226828	0.0211504346247308	0.999933927310508
"Transcript_139533.0"	2.58978988086931	0	5.17957976173862	12.9151848264132	3.69099638458731	0.0317391278348239	0.999933927310508
"Transcript_139736.0"	4.09554228657031	7.07055484512092	1.12052972801969	0.259463771143751	-1.94639498536049	0.0476295155262242	0.999933927310508
"Transcript_140086.0"	1.04520215867098	2.09040431734196	0	0.0598262769034106	-4.06307690549012	0.0134557276953387	0.999933927310508
"Transcript_14064.0"	20.1084143501333	38.9182748475564	1.29855385271012	0.0760220462344876	-3.71743833199635	0.0196779801935027	0.999933927310508
"Transcript_141256.0"	1.59211203093779	0.208617295272134	2.97560676660346	6.80846146872172	2.76732882434375	0.0386805665627042	0.999933927310508
"Transcript_141308.0"	1.44156694983238	2.88313389966477	0	0.0486487148245314	-4.36145449660319	0.00743018680466903	0.999933927310508
"Transcript_141802.0"	1.46568718396985	1.45170934764212	2.85813423422766	8.63213365507998	3.10971720287369	0.0317865556727619	0.999933927310508
"Transcript_141852.0"	1.89342347777566	0.161715245291351	3.62513171025998	9.07618017108744	3.18208524820752	0.034732178220936	0.999933927310508
"Transcript_142107.0"	2.88914883729608	5.77829767459216	0	0.0637936093332281	-3.97044428373208	0.0217995366693864	0.999933927310508
"Transcript_142217.0"	0.812945780520092	1.62589156104018	0	0.0552843106829986	-4.17698607841683	0.00790189298713542	0.999933927310508
"Transcript_142369.0"	2.12276593936842	0.343334329423042	3.90219754931381	6.95718559329069	2.798503807258	0.00704884417656533	0.999933927310508
"Transcript_142396.0"	1.06213900052783	0	2.12427800105565	13.6130037752252	3.76691353450508	0.0159108848961839	0.999933927310508
"Transcript_142465.0"	2.44109490307535	4.82899306903529	0.0531967371154149	0.0995733309521407	-3.32809679743232	0.0498275505022968	0.999933927310508
"Transcript_142558.0"	0.67093165348829	1.34186330697658	0	0.0723205492160591	-3.78945055587842	0.0194432265931945	0.999933927310508
"Transcript_142564.0"	1.70693978315542	0	3.41387956631084	20.3001241280518	4.34341664389275	0.00509000764605185	0.999933927310508
"Transcript_142947.0"	2.32814392465012	4.65628784930023	0	0.077695683873242	-3.68602173306738	0.0338996975079198	0.999933927310508
"Transcript_143418.0"	1.37975836120797	0.0961722707393076	2.66334445167664	7.74421547696381	2.95311909507406	0.0432711139923184	0.999933927310508
"Transcript_143587.0"	1.1437506764191	0	2.2875013528382	11.6969154607677	3.54805622844363	0.0327215620882832	0.999933927310508
"Transcript_143726.0"	0.645406513803065	0	1.29081302760613	10.0375483691442	3.32733503473519	0.0401304765008651	0.999933927310508
"Transcript_143800.0"	1.08300072551763	0	2.16600145103526	11.7209128416457	3.55101302819966	0.0318293832839139	0.999933927310508
"Transcript_143839.0"	1.16520277031818	0.0411827101322704	2.28922283050409	9.1249774127883	3.18982098775688	0.0449465411210431	0.999933927310508
"Transcript_143983.0"	1.14177607358634	0	2.28355214717269	20.3683309413677	4.34825586010687	0.00334363321736336	0.999933927310508
"Transcript_14408.0"	27.2680847160515	45.3097110264066	9.22645840569652	0.23262002597856	-2.10395279284704	0.0121758846470479	0.999933927310508
"Transcript_144104.0"	1.03603888902272	2.01140837893411	0.0606693991113367	0.0851772471090454	-3.55338808639865	0.0158684667943909	0.999933927310508
"Transcript_144193.0"	0.918874303297965	0	1.83774860659593	11.385912716546	3.50917804019201	0.0285788402965604	0.999933927310508
"Transcript_144276.0"	2.79694460660295	5.59388921320589	0	0.0660448164856129	-3.920410853495	0.0237144066995276	0.999933927310508
"Transcript_144407.0"	1.84983870344192	0.172075597838433	3.52760180904541	7.61447869633606	2.92874527007373	0.0403334408399727	0.999933927310508
