Name	heart1	spleen1	lung1	colon1	liver1	kidney1	skeletal_muscle_tissue1	brain1	testis1	brain2	kidney2	colon2	liver2	lung2	skeletal_muscle_tissue2	spleen2	testis2	brain3	colon3	heart3	kidney3	liver3	lung3	skeletal_muscle_tissue3	spleen3	testis3
MGI:1339941	0	1.002	39859.8	55.182	0	0	0	2.314	2.004	1.959	5.296	11.008	0	39319.3	0.962	0	2.477	1.001	20.584	0	0	2.02	51823.6	1.318	1.001	1.042
MGI:2141773	7.317	134.827	27.945	13.063	5.5	122.444	7.726	94.94	127.116	203.133	62.079	15.594	2.111	49.694	34.001	83.213	378.055	35.862	18.014	13.568	26.396	6.303	142.173	3.545	74.745	39.493
MGI:2151152	1081.55	20784.3	3635.14	11479.3	33.826	7434.35	2991.72	4384.39	40727.4	7162.97	6493.06	3565.1	5971.3	4371.92	3187.44	23978.1	36894.5	2707.39	2111.42	620.705	1853.14	2071.56	11707.9	820.482	21303.2	12066.2
MGI:1922033	275.474	2723.03	1353.91	1051.7	449.138	4364.22	923.781	3278.5	9124.72	6612.66	3306.98	525.873	1768.54	1275.88	973.871	2903.73	7773.71	1901.62	331.885	150.925	1676.46	205.257	4859.44	309.777	3461.51	4067.76
MGI:5753809	21.431	313.808	131.744	81.674	8.535	239.927	56.972	142.429	373.225	117.384	274.262	19.476	82.653	99.595	60.838	378.535	238.931	12.567	12.458	5.967	96.247	20.125	253.36	33.284	339.175	113.948
MGI:2145650	2	7	4	4	0	2	3	4	8089	10	1	6	4	8	4	4	10024	1	0	0	18	0	6	4	3	2731.97
MGI:1203495	10.24	67.659	61.222	163149	13.195	11331.9	21.957	15.453	785.241	24.922	4602.82	63983.7	6791.91	32.079	46.751	40.311	283.826	2.074	27770.5	6.151	1997.83	3667.26	55.887	13.173	84.599	275.755
MGI:109233	64.788	2645.46	139.398	1390.54	25.895	152.858	45.59	506.404	3037.19	1032.67	154.239	547.673	72.296	136.013	32.011	1977.58	2029.05	271.065	610.248	46.404	85.682	25.197	340.321	18.187	6061.8	1152.84
MGI:99440	176.002	1800.84	323.609	304.095	16.368	126.016	112.004	236.084	383.591	474.668	70	139	36	223	66.002	1649	228.014	102.181	39	92.003	22.076	16.022	1071.14	15	2661.72	181.966
MGI:1920537	449.812	468.402	335.762	388.453	277.699	1627.09	21.98	149.157	10712.9	222.653	1744.54	191.388	595.4	344.616	13.263	425.551	8939.81	64.297	161.617	172.196	526.19	191.715	511.428	37.23	215.176	4608.75
MGI:1921650	0	26.274	3.049	19.171	0	0	0	10.644	1232.83	18.039	2.006	8.054	0	3.023	2.005	11.057	855.949	4.043	12.163	0	0	0.986	7.182	0	34.132	341.363
MGI:3781232	0.887	6.705	1.028	518.392	7.216	8.509	0	2.026	260.731	11.369	5.268	272.431	9.022	0	1.059	24.972	170.457	3.099	65.776	3.022	1.021	1.043	5.432	5.054	6.061	73.91
MGI:1920543	3	20	88.166	5	0	79	5	109	2228	188	71	7	6	126	3	9	1892	64.743	5	3	29.005	0	129	3	26	940.511
MGI:3649212	3.021	27.272	4.022	4.002	4.073	10.922	5.021	16.078	282.709	17.544	6.001	2.193	5	8.266	3	21	177.212	4.258	1.052	0	6.007	1.001	6.976	3.059	36.129	70.523
MGI:1919681	1.002	60.051	14.014	9537.63	2.147	2.005	1.001	9.032	22.267	2	1	3297.06	1.001	5	0	33.012	30.015	0	2043.72	0	0	1.001	19.076	0	21.033	13.138
MGI:2655364	37.226	284.207	120.819	91.349	30.517	90.672	92.493	611.432	2141.75	759.8	66.34	57.283	38.049	134.743	81.624	209.05	1709.11	180.004	42.105	19.584	12.792	14.625	220.288	26.651	417.918	397.585
MGI:1932475	16.015	820.979	116.883	229.014	32	71.004	15	10.09	325.364	39	124	229	235	155	12	2455	240	17.125	85.122	36	28.099	72.007	584.001	11.005	3795	27.233
MGI:2385277	58.137	914.445	218.155	525.087	0	382.767	158	431.394	99.565	551.012	412.001	297.857	528.001	489.992	237.576	1098	144	147.856	177.102	37	114.012	152.105	843.358	48.157	832.317	13.004
MGI:1350921	3195.88	2267.52	5829.6	1527.49	9	6932.18	5705.02	2002.18	1786.54	2480.3	6533.19	752.046	2322.04	5747.21	5595.88	2312	1643.86	777.985	567.922	1811.71	2525.22	781.057	16430	1758.19	2427.93	508.512
MGI:1916761	2	8	8	0	0	4	1	2	1	5	0	0	0	9	0	3	1	0	0	0	0	0	8	0	0	4
MGI:1916790	8	94.014	24	4.003	0	4.001	9.001	13.015	1.107	39	13	6	0	50.439	17	50	10	14.201	8.001	3.002	1	0	85.117	6.006	68.008	0
MGI:1932682	560.458	2112.58	2050.67	2347.87	392.959	2586.26	117.4	103.98	193.516	102.294	3231.39	1087.33	432.985	1655.5	125.029	2505.2	192.854	21.005	1191.66	681.328	762.828	172.976	8141.56	43.964	1867.01	54.455
MGI:1343327	383.549	1252.69	228.416	136.319	1.502	90.844	10.554	143.708	2.193	210	67	111	20	325.001	45	633.999	6.591	119.887	76.218	166	26.544	3.288	229.196	10.567	670.12	0
MGI:1101778	261.954	101.418	883.24	272.502	23.728	110.114	46.754	93.457	90.463	80.497	82.765	83.37	25.049	380.351	22.381	80.187	91.311	59.044	74.713	63.545	27.612	13.104	1153.18	22.402	164.553	29.781
MGI:1351604	0	3.069	0	0	0	0	0	0	22.118	0	0	0	0	0	0	0	7.013	0	0	0	0	0	0	0	1.001	8.577
MGI:1343166	0	3.004	0	0	0	0	5.838	687.257	10.021	197.207	0	8.004	0	0	0	0	10	10.007	2.003	0	0	1	0	1.005	1	0
MGI:2442557	1991.5	4503.6	827.99	479.13	206.6	132.672	40.555	7623.07	2458.69	11802.1	65.542	171.372	16.08	287.13	60.744	1807.51	2282.04	3313.14	193.628	958.991	35.619	15.166	1005.25	39.845	2501.06	500.384
MGI:1915918	0	4.005	0	1	0	0	0	2.001	3.093	0	0	0	0	0	0	0	0.999	0	0	0	0	0	0	0	1.002	0
MGI:892019	0	0	0	1	0	12.428	0	0	81.527	0	4	1	0	0	0	4	47.008	0	39.346	0	4.112	2	0	0	1.159	21.495
MGI:892023	0	2.547	1.021	2.007	0	10.734	0	0	77.421	0	19.087	59.75	1	5	0	8	20	0	27.615	0	2.07	0	0	0	1.351	34.289
MGI:1913320	1197.09	4638.16	1495.15	2724.13	1	2891.2	3087.07	2438.25	3572.49	2164	2145.01	1128	1966	1522	1989	3829	2756	1086.16	1273.61	591.162	971.044	1001.39	3966.18	1027.02	4319.03	2038.36
MGI:97797	339.145	2903.25	1967.7	1971.71	2.247	927.366	291.183	897.685	33.167	861	1490	1264.06	1033.06	2458	132.515	3747.01	35.948	322.305	712.538	345.203	424.222	342.397	5525.64	58.177	4800.16	16.1
MGI:1298209	86.119	7.024	44.056	94.042	7.306	13.009	109.034	698.243	34.032	940.874	15.007	56.01	0	19.01	134.004	4.004	33.007	120.166	31.029	35.019	4.013	0	92.056	18.023	11.016	18.077
MGI:1097693	177.511	920.551	305.285	388.145	5.257	583.539	317.301	242.202	1182.83	407.15	602.936	236.15	361.646	371.966	213.556	802.006	915.886	138.935	166.377	91.917	120.534	107.476	792.629	67.86	966.516	326.433
MGI:1889001	1063.38	8479.06	3164.61	3992.35	10.018	4316.88	3034.29	6478.03	8589.39	6966.31	4029.59	2054.56	3124.09	3045.05	2460.11	8837.27	6585.11	2922.36	1437.65	745.909	1879.24	1456.63	10093.4	1000.94	9290	3882.51
MGI:105043	319.077	1463.21	3141.07	3581	1447.42	863.06	211.003	729.617	133.46	742	602	487	3052	3228	161	1776	83	239.132	405.115	184.108	128.014	765.121	6660.86	75.074	2023.24	33.284
MGI:2384933	147.003	1914.39	309.965	1003.13	436.131	1149.54	339.083	751.314	898.212	1197.88	970.88	601.199	877.337	343.802	329.844	1789.03	671.08	297.309	295.395	67.551	210.529	134.236	720.906	48.147	1699.48	221.525
MGI:99259	26.034	1502.97	57.326	316.259	5.001	68.232	25.047	4401.95	173.403	8573.77	59.005	282.002	38	82	47.096	1530.16	265.005	4593.54	230.194	21.047	21.004	11.025	274.618	6.019	1754.44	84.531
MGI:891982	0	0	0	5.428	0	20.196	0	0	158.679	0	25.124	1.007	0	0	0	0	147	0	1.11	0	0	0	0	0	0	7.15
